 x, y, z, s
   10.1979904     ,   2.42886186     ,   5.66685581     ,   7.98719883    
   10.1830521     ,   2.42122221     ,   5.64842367     ,   8.01212406    
   10.1680164     ,   2.41368937     ,   5.63000393     ,   8.03706551    
   10.1528873     ,   2.40626383     ,   5.61159611     ,   8.06202316    
   10.1376619     ,   2.39894533     ,   5.59319973     ,   8.08699894    
   10.1223431     ,   2.39173317     ,   5.57481766     ,   8.11198997    
   10.1069317     ,   2.38462758     ,   5.55644989     ,   8.13699818    
   10.0914278     ,   2.37762833     ,   5.53809643     ,   8.16202259    
   10.0758314     ,   2.37073541     ,   5.51975918     ,   8.18706226    
   10.0601444     ,   2.36394835     ,   5.50143814     ,   8.21211815    
   10.0443678     ,   2.35726690     ,   5.48313427     ,   8.23719025    
   10.0285006     ,   2.35069132     ,   5.46484852     ,   8.26227760    
   10.0125446     ,   2.34422088     ,   5.44658136     ,   8.28738022    
   9.99650097     ,   2.33785605     ,   5.42833328     ,   8.31249809    
   9.98036957     ,   2.33159637     ,   5.41010571     ,   8.33763027    
   9.96415138     ,   2.32544136     ,   5.39189911     ,   8.36277771    
   9.94784737     ,   2.31939149     ,   5.37371349     ,   8.38793945    
   9.93145847     ,   2.31344581     ,   5.35555124     ,   8.41311550    
   9.91498375     ,   2.30760503     ,   5.33741140     ,   8.43830681    
   9.89842701     ,   2.30186820     ,   5.31929588     ,   8.46351051    
   9.88178539     ,   2.29623556     ,   5.30120516     ,   8.48872757    
   9.86506176     ,   2.29070687     ,   5.28313923     ,   8.51395893    
   9.84825611     ,   2.28528166     ,   5.26510000     ,   8.53920364    
   9.83136940     ,   2.27996039     ,   5.24708796     ,   8.56446075    
   9.81440258     ,   2.27474236     ,   5.22910309     ,   8.58973026    
   9.79735565     ,   2.26962781     ,   5.21114635     ,   8.61501217    
   9.78023052     ,   2.26461601     ,   5.19321918     ,   8.64030647    
   9.76302624     ,   2.25970721     ,   5.17532206     ,   8.66561222    
   9.74574566     ,   2.25490117     ,   5.15745544     ,   8.69092846    
   9.72838783     ,   2.25019765     ,   5.13962030     ,   8.71625710    
   9.71095276     ,   2.24559641     ,   5.12181711     ,   8.74159718    
   9.69344330     ,   2.24109769     ,   5.10404682     ,   8.76694679    
   9.67585945     ,   2.23670077     ,   5.08631039     ,   8.79230690    
   9.65820122     ,   2.23240590     ,   5.06860828     ,   8.81767654    
   9.64046955     ,   2.22821259     ,   5.05094194     ,   8.84305573    
   9.62266541     ,   2.22412062     ,   5.03331089     ,   8.86844444    
   9.60478973     ,   2.22013044     ,   5.01571655     ,   8.89384174    
   9.58684254     ,   2.21624112     ,   4.99815989     ,   8.91924763    
   9.56882477     ,   2.21245289     ,   4.98064137     ,   8.94466209    
   9.55073738     ,   2.20876551     ,   4.96316099     ,   8.97008324    
   9.53258133     ,   2.20517874     ,   4.94572115     ,   8.99551296    
   9.51435661     ,   2.20169258     ,   4.92832136     ,   9.02094936    
   9.49606514     ,   2.19830680     ,   4.91096258     ,   9.04639339    
   9.47770500     ,   2.19502115     ,   4.89364624     ,   9.07184410    
   9.45928001     ,   2.19183540     ,   4.87637234     ,   9.09729958    
   9.44079018     ,   2.18874955     ,   4.85914183     ,   9.12276268    
   9.42223549     ,   2.18576312     ,   4.84195566     ,   9.14822960    
   9.40361595     ,   2.18287635     ,   4.82481384     ,   9.17370224    
   9.38493252     ,   2.18008900     ,   4.80771828     ,   9.19917870    
   9.36618805     ,   2.17740059     ,   4.79066896     ,   9.22465992    
   9.34737968     ,   2.17481112     ,   4.77366686     ,   9.25014591    
   9.32851219     ,   2.17232060     ,   4.75671244     ,   9.27563381    
   9.30958366     ,   2.16992879     ,   4.73980665     ,   9.30112648    
   9.29059410     ,   2.16763520     ,   4.72295094     ,   9.32662010    
   9.27154732     ,   2.16543984     ,   4.70614481     ,   9.35211754    
   9.25244045     ,   2.16334295     ,   4.68938923     ,   9.37761593    
   9.23327732     ,   2.16134357     ,   4.67268610     ,   9.40311623    
   9.21405602     ,   2.15944219     ,   4.65603495     ,   9.42861748    
   9.19478035     ,   2.15763807     ,   4.63943720     ,   9.45411873    
   9.17544746     ,   2.15593195     ,   4.62289333     ,   9.47962093    
